ts_code_x	trade_date	open	high	low	close_x	pre_close	change	pct_chg	vol	amount	turnover_rate	turnover_rate_f	volume_ratio	pe	pe_ttm	pb	ps	ps_ttm	dv_ratio	dv_ttm	total_share	float_share	free_share	total_mv	circ_mv	open_close_chg
300894.SZ	20201231	34.1683	50.495	33.7129	48.5149	13.9307	34.5842	248.2589	287182.93	1179880.803	75.518	75.518		82.7795	78.6023	16.1925	14.9642	13.255			40500.0	3802.8401	3802.8401	1984500.0	186339.1649	-0.00694013591700695
300894.SZ	20210104	48.1782	58.0	46.0891	55.4455	48.5149	6.9306000000000045	14.2855	199896.2	1051837.853	52.565	52.565		94.6052	89.8312	18.5057	17.102	15.1485			40500.0	3802.8401	3802.8401	2268000.0	212959.0456	-0.0535715251914042
300894.SZ	20210105	52.4752	55.5347	49.5545	52.8713	55.4455	-2.5742000000000047	-4.6428	171451.82	907207.884	45.0852	45.0852		90.2128	85.6605	17.6465	16.308	14.4452			40500.0	3802.8401	3802.8401	2162700.0	203071.6613	-0.026218383130356078
300894.SZ	20210106	51.4851	55.4455	47.7426	51.7822	52.8713	-1.0890999999999948	-2.0599	137476.11	720535.439	36.1509	36.1509		88.3545	83.8959	17.283	15.972	14.1477			40500.0	3802.8401	3802.8401	2118150.0	198888.5372	-0.04397650157776225
300894.SZ	20210107	49.505	52.0792	46.6337	49.5941	51.7822	-2.1881000000000057	-4.2256	121022.81	605439.457	31.8243	31.8243		84.6209	80.3508	16.5527	15.2971	13.5498			40500.0	3802.8401	3802.8401	2028645.0	190484.2606	-0.0017965846743865671
300894.SZ	20210108	49.505	59.3564	49.505	57.5545	49.5941	7.9604	16.0511	165599.55	916192.103	43.5463	43.5463	0.9	98.2035	93.248	19.2095	17.7525	15.7247			40500.0	3802.8401	3802.8401	2354265.0	221059.095	-0.07448939700631572
300894.SZ	20210111	53.2673	55.9307	50.495	51.4653	57.5545	-6.089199999999997	-10.5799	139289.01	751164.6190000002	36.6276	36.6276	0.88	87.8139	83.3826	17.1772	15.8743	14.0611			40500.0	3802.8401	3802.8401	2105190.0	197671.6284	-0.057327947179944584
300894.SZ	20210112	48.5149	50.6337	46.8119	49.4752	51.4653	-1.9900999999999984	-3.8669	99604.34	492144.552	26.1921	26.1921	0.68	84.4182	80.1583	16.512999999999998	15.2605	13.5174			40500.0	3802.8401	3802.8401	2023785.0	190027.9198	0.013608838367505286
300894.SZ	20210113	50.1485	51.198	44.3564	44.4455	49.4752	-5.029699999999998	-10.1661	109821.9	521839.7670000001	28.8789	28.8789	0.83	75.8362	72.0094	14.8343	13.7091	12.1432			40500.0	3802.8401	3802.8401	1818045.0	170709.4921	-0.02294495505731747
300894.SZ	20210114	43.4257	47.3762	42.099	44.8713	44.4455	0.4257999999999953	0.958	77832.16	351626.55700000003	20.4669	20.4669	0.61	76.5626	72.6991	14.9764	13.8404	12.2595			40500.0	3802.8401	3802.8401	1835460.0	172344.7133	-0.021403436049323286
